episode,total_reward,step_count,success,success_rate,duration_s,epsilon,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count,action_8_count,action_9_count,most_used_action,scenario,loss,q_mean,q_max
43,-1683.4,189,0,0.3023,156.51,0.80611,14,19,17,14,23,17,14,36,20,15,radar_on,Escort2,144.748459,4.26679,22.476137
44,-762.1,174,1,0.3182,146.53,0.80208,15,14,17,28,12,13,11,28,27,9,attack_slot_0,LandStrike 1,137.81955,4.276765,22.399744
45,-333.4,25,0,0.3111,26.34,0.79807,0,2,2,3,2,3,4,4,4,1,attack_slot_3,Escort2,124.581154,4.020322,21.73937
46,-595.5,76,0,0.3043,68.22,0.79408,4,8,8,8,7,7,8,12,11,3,radar_on,Escort1,155.022995,5.315954,22.872648
47,-350.4,23,0,0.2979,25.3,0.7901,0,1,3,3,3,3,3,4,2,1,radar_on,Escort2,126.615578,5.091087,23.035303
48,-304.8,28,0,0.2917,30.88,0.78615,0,1,6,3,3,2,2,7,3,1,radar_on,Escort2,109.580826,5.063233,23.255074
49,-381.102,75,1,0.3061,69.02,0.78222,2,8,3,11,10,4,6,10,15,6,radar_off,Escort1,136.057678,5.813826,25.234238
50,-291.6,22,0,0.3,26.29,0.77831,2,0,2,6,1,2,2,4,2,1,attack_slot_0,Escort2,137.866608,6.461337,25.228102
51,-554.22,150,1,0.3137,131.23,0.77442,13,8,14,20,9,6,12,26,31,11,radar_off,LandStrike 1,165.268494,6.48592,25.345892
52,-386.3,82,0,0.3077,64.91,0.77055,4,7,10,18,1,5,2,9,18,8,attack_slot_0,Escort1,152.427994,7.242411,26.416958
53,-600.8,129,1,0.3208,110.17,0.7667,8,8,11,16,7,8,14,20,26,11,radar_off,LandStrike 1,148.797287,7.359056,26.208124
54,-452.2,79,0,0.3148,72.58,0.76286,6,9,6,15,3,3,9,10,16,2,radar_off,Escort1,154.498901,7.320197,26.436646
55,-439.5,68,0,0.3091,61.8,0.75905,5,5,4,15,2,9,5,10,9,4,attack_slot_0,Escort1,146.395981,8.464181,28.10256
56,-314.04,95,1,0.3214,86.84,0.75525,8,6,5,16,7,5,6,17,17,8,radar_on,LandStrike 1,195.760361,8.094754,28.013258
57,-310.5,27,0,0.3158,25.34,0.75148,2,3,2,3,2,2,2,4,5,2,radar_off,Escort2,124.343605,8.336053,27.928953
58,-1506.3,188,0,0.3103,154.3,0.74772,17,11,19,17,10,12,24,25,33,20,radar_off,Escort2,166.493454,9.300394,28.912352
59,-271.1,28,0,0.3051,31.95,0.74398,3,0,5,3,2,2,1,4,5,3,move_to_ally,Escort2,199.947159,9.226787,28.236273
60,-488.04,112,1,0.3167,101.81,0.74026,10,5,7,16,10,8,8,19,19,10,radar_on,LandStrike 1,143.072922,9.155365,29.280575
61,-278.562,98,1,0.3279,81.72,0.73656,5,11,7,16,5,3,6,17,18,10,radar_off,LandStrike 1,130.547607,9.196943,29.481936
62,-1482.4,183,0,0.3226,155.95,0.73288,19,12,12,21,15,20,9,34,25,16,radar_on,Escort2,136.515198,9.2777,29.833912
63,-307.68,94,1,0.3333,79.41,0.72921,10,7,10,16,6,7,4,11,15,8,attack_slot_0,LandStrike 1,139.939514,9.706455,29.298244
64,-1394.118,248,0,0.3281,220.94,0.72557,19,18,17,55,14,23,21,31,37,13,attack_slot_0,LandStrike 1,157.099899,9.759377,29.756935
65,-311.2,29,0,0.3231,31.58,0.72194,0,3,3,2,2,2,2,6,6,3,radar_on,Escort2,205.994308,9.27816,30.080463
66,-1027.84,204,1,0.3333,181.5,0.71833,14,14,14,34,16,14,16,26,38,18,radar_off,LandStrike 1,157.641159,9.590415,29.847441
67,-227.6,21,0,0.3284,22.39,0.71474,0,0,3,4,2,1,1,4,4,2,attack_slot_0,Escort2,186.802994,9.535179,29.525932
68,-561.4,84,0,0.3235,68.84,0.71116,7,8,10,13,4,6,8,7,15,6,radar_off,Escort1,151.982864,9.729523,29.99704
69,-200.2,23,0,0.3188,24.33,0.70761,2,1,3,3,1,2,0,6,4,1,radar_on,Escort1,196.632126,9.812704,29.985104
70,-1608.033,259,0,0.3143,226.82,0.70407,13,22,22,39,24,17,26,43,42,11,radar_on,LandStrike 1,141.658188,10.270821,32.047749
71,-377.1,25,0,0.3099,31.39,0.70055,1,0,3,5,3,3,3,3,2,2,attack_slot_0,Escort2,111.213791,10.589194,30.82905
72,-868.58,181,1,0.3194,149.77,0.69705,11,21,9,26,16,9,14,28,33,14,radar_off,LandStrike 1,157.460632,10.148975,31.47583
73,-243.1,19,0,0.3151,19.37,0.69356,0,2,2,5,0,1,1,3,4,1,attack_slot_0,Escort1,128.799042,10.308105,31.024849
74,-350.5,27,0,0.3108,26.32,0.69009,1,3,1,9,2,1,3,3,2,2,attack_slot_0,Escort2,166.242218,10.337013,31.631037
75,-210.3,25,0,0.3067,24.28,0.68664,3,5,1,2,1,0,2,4,7,0,radar_off,Escort1,130.954834,11.019897,32.180511
76,-1239.8,181,0,0.3026,147.78,0.68321,11,12,14,12,13,11,12,43,39,14,radar_on,Escort2,162.597855,10.83463,32.471382
77,-315.6,73,0,0.2987,68.78,0.67979,6,3,4,15,3,6,3,16,14,3,radar_on,Escort1,168.713181,10.742173,32.36047
78,-408.7,111,1,0.3077,95.66,0.67639,9,8,7,14,8,4,10,22,21,8,radar_on,LandStrike 1,205.021179,10.633718,32.668194
79,-204.0,19,0,0.3038,23.35,0.67301,2,1,1,4,0,2,1,3,5,0,radar_off,Escort2,62.371429,10.836499,32.357109
80,-683.34,157,1,0.3125,142.56,0.66965,10,10,10,27,8,7,19,31,28,7,radar_on,LandStrike 1,179.302765,10.765847,32.944984
81,-522.5,88,0,0.3086,73.33,0.6663,2,11,11,10,3,4,7,15,18,7,radar_off,Escort1,170.904007,10.717132,32.243958
82,-504.6,72,0,0.3049,71.61,0.66297,1,7,1,7,5,10,3,16,16,6,radar_on,Escort1,239.166611,10.920047,33.084232
83,-209.48,88,1,0.3133,84.39,0.65965,5,3,4,29,5,5,5,11,17,4,attack_slot_0,LandStrike 1,149.437759,11.248851,33.324715
