episode,total_reward,step_count,success,success_rate,duration_s,epsilon,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count,action_8_count,action_9_count,most_used_action,scenario,loss,q_mean,q_max
187,-345.342,164,1,0.3155,175.61,0.39167,6,4,5,41,9,7,5,35,46,6,radar_off,LandStrike 1,165.585068,27.841915,52.767952
188,-107.8,81,1,0.3191,86.0,0.38971,6,2,1,41,3,4,2,3,15,4,attack_slot_0,LandStrike 1,153.005997,27.894697,52.21114
189,-82.54,82,1,0.3228,90.84,0.38776,3,4,4,44,3,3,3,5,12,1,attack_slot_0,LandStrike 1,143.593689,28.045773,53.232399
190,-69.023,87,1,0.3263,91.97,0.38582,5,4,2,9,1,6,1,39,19,1,radar_on,LandStrike 1,172.695847,28.624107,54.425755
191,-293.5,72,0,0.3246,68.88,0.38389,3,2,5,12,5,1,1,22,17,4,radar_on,Escort1,154.200592,29.177408,53.655037
192,-158.44,87,1,0.3281,87.45,0.38197,3,2,5,32,6,5,2,14,14,4,attack_slot_0,LandStrike 1,156.163742,28.723125,54.480854
193,-44.234,86,1,0.3316,79.56,0.38006,2,4,6,31,2,3,1,16,18,3,attack_slot_0,LandStrike 1,157.898407,29.448627,55.893097
194,-263.3,74,0,0.3299,78.3,0.37816,4,3,6,11,3,1,3,22,17,4,radar_on,Escort1,183.707443,29.853022,55.670036
195,-112.4,100,1,0.3333,106.87,0.37627,5,1,1,24,5,1,5,27,27,4,radar_on,LandStrike 1,169.001617,29.909008,56.586578
196,-151.455,98,1,0.3367,99.29,0.37439,4,2,6,20,4,5,3,25,26,3,radar_off,LandStrike 1,134.447311,30.17457,58.223473
197,-715.1,161,0,0.335,155.58,0.37252,13,4,11,6,11,5,6,63,40,2,radar_on,Escort2,152.743851,29.977949,58.442322
198,-314.6,69,0,0.3333,73.62,0.37066,0,3,3,11,1,5,4,25,15,2,radar_on,Escort1,179.083664,29.77878,58.113247
199,-233.635,131,1,0.3367,125.08,0.3688,12,4,3,32,4,6,5,24,35,6,radar_off,LandStrike 1,152.676315,30.02256,58.613293
200,-198.6,23,0,0.335,30.78,0.36696,1,2,1,1,0,1,1,7,5,4,radar_on,Escort2,178.12764,29.628185,56.838341
201,-82.68,68,1,0.3383,68.77,0.36512,1,3,1,3,3,4,2,31,19,1,radar_on,Escort1,192.417877,29.610636,57.439857
202,-782.9,163,0,0.3366,153.55,0.3633,6,8,6,7,5,7,8,89,14,13,radar_on,Escort2,132.36644,29.29731,58.304192
203,-89.94,80,1,0.3399,77.45,0.36148,2,3,2,33,4,3,2,26,1,4,attack_slot_0,LandStrike 1,170.422531,29.158543,58.337498
204,-755.5,175,0,0.3382,164.92,0.35967,34,14,10,6,5,4,7,76,11,8,radar_on,Escort2,165.492355,29.283052,59.331806
205,-75.276,74,1,0.3415,78.6,0.35788,1,6,2,20,2,2,2,14,19,6,attack_slot_0,Escort1,144.531906,29.321209,60.497597
206,-154.3,103,1,0.3447,95.79,0.35609,1,6,4,38,2,4,5,11,28,4,attack_slot_0,LandStrike 1,123.739449,29.133848,60.7705
207,-24.72,88,1,0.3478,86.66,0.35431,1,1,4,50,5,1,1,10,12,3,attack_slot_0,LandStrike 1,119.90313,29.978844,60.554783
208,-343.3,68,0,0.3462,65.03,0.35253,3,4,4,2,3,4,4,26,17,1,radar_on,Escort1,189.156311,30.062353,62.21455
209,-33.637,73,1,0.3493,73.49,0.35077,2,4,5,2,0,6,0,21,29,4,radar_off,Escort1,157.622559,30.318977,63.204189
210,-697.6,162,0,0.3476,164.13,0.34902,6,10,5,11,4,6,10,59,49,2,radar_on,Escort2,154.437439,29.947729,64.709465
211,-176.105,98,1,0.3507,85.16,0.34727,2,9,5,59,6,3,2,4,2,6,attack_slot_0,LandStrike 1,112.204842,29.575325,65.112625
212,-280.3,131,1,0.3538,130.59,0.34554,5,6,3,53,3,8,5,25,14,9,attack_slot_0,LandStrike 1,122.372513,29.899363,63.063839
213,7.2,84,1,0.3568,88.63,0.34381,2,3,4,52,2,0,2,9,7,3,attack_slot_0,LandStrike 1,131.229889,30.70788,64.99054
214,-381.1,67,0,0.3551,64.86,0.34209,31,3,1,4,6,2,5,8,3,4,nothing,Escort1,164.732513,29.632944,64.679718
215,-273.9,32,0,0.3535,37.87,0.34038,3,2,2,2,3,1,0,2,9,8,radar_off,Escort2,140.921585,30.122238,65.882736
216,-494.72,158,1,0.3565,151.71,0.33868,3,3,10,6,8,8,7,42,56,15,radar_off,Escort2,156.698669,30.001396,65.541565
217,-131.295,100,1,0.3594,101.46,0.33698,3,0,3,37,5,1,5,15,24,7,attack_slot_0,LandStrike 1,104.571602,29.836939,66.648727
218,-172.4,23,0,0.3578,27.38,0.3353,9,1,0,2,0,0,1,6,4,0,nothing,Escort2,184.385788,29.649523,63.458435
219,-272.8,71,0,0.3562,72.67,0.33362,14,5,1,4,2,4,2,19,17,3,radar_on,Escort1,136.400681,29.199776,64.89682
220,-312.8,68,0,0.3545,65.75,0.33195,2,1,4,3,1,4,7,13,29,4,radar_off,Escort1,175.47142,29.818954,64.589714
221,-85.7,85,1,0.3575,84.73,0.33029,6,3,4,26,3,4,2,19,14,4,attack_slot_0,LandStrike 1,149.88884,29.492046,64.837204
222,-233.5,25,0,0.3559,28.4,0.32864,0,0,3,2,0,1,2,6,11,0,radar_off,Escort2,85.773552,30.644325,63.741199
223,-222.8,20,0,0.3543,21.35,0.327,2,0,2,0,1,4,0,4,4,3,attack_slot_2,Escort1,135.428925,30.535175,64.467896
224,-171.7,22,0,0.3527,33.82,0.32536,2,2,1,0,0,2,1,7,6,1,radar_on,Escort1,262.634644,29.920855,66.679443
225,-224.6,20,0,0.3511,24.31,0.32374,1,0,2,1,1,1,2,6,4,2,radar_on,Escort1,114.136742,30.140997,65.244972
226,-530.5,149,0,0.3496,166.48,0.32212,4,3,4,4,6,5,5,74,41,3,radar_on,Escort2,139.657333,31.54953,66.8992
227,-21.34,83,1,0.3524,86.62,0.32051,5,2,3,30,5,1,1,15,18,3,attack_slot_0,LandStrike 1,117.810524,31.182552,66.404037
228,-164.48,71,1,0.3553,76.77,0.31891,5,2,3,21,3,3,6,16,8,4,attack_slot_0,Escort1,130.986984,31.457729,66.875114
229,-553.3,155,0,0.3537,151.91,0.31731,4,4,4,9,4,4,7,26,87,6,radar_off,Escort2,141.344147,31.406961,68.025604
230,-191.5,22,0,0.3522,24.33,0.31572,0,1,2,0,0,3,1,9,6,0,radar_on,Escort1,136.08252,31.773771,66.851974
231,-320.62,159,1,0.355,159.79,0.31415,5,5,8,1,7,5,5,44,73,6,radar_off,Escort2,156.147598,31.387093,68.859489
232,-246.5,72,0,0.3534,78.81,0.31258,3,2,2,4,1,0,3,12,31,14,radar_off,Escort1,174.138626,30.974413,67.239899
233,-84.42,78,1,0.3562,85.1,0.31101,4,2,4,42,3,2,4,14,1,2,attack_slot_0,LandStrike 1,141.249924,32.040497,67.14415
234,-196.9,24,0,0.3547,24.35,0.30946,0,1,3,0,1,0,2,15,0,2,radar_on,Escort1,147.220993,32.118172,65.716957
235,-455.0,151,0,0.3532,147.64,0.30791,9,2,7,3,2,6,2,73,44,3,radar_on,Escort2,149.632294,30.255575,68.077042
236,-196.7,65,0,0.3517,68.75,0.30637,3,1,1,11,1,2,3,10,31,2,radar_off,Escort1,129.029648,30.216377,65.899536
237,-152.6,21,0,0.3502,29.29,0.30484,0,1,0,0,0,0,1,9,9,1,radar_on,Escort1,137.960358,29.881548,65.60994
238,-555.7,152,0,0.3487,152.33,0.30331,2,3,8,8,5,4,7,54,58,3,radar_off,Escort2,107.678596,29.153475,66.083466
239,-130.8,22,0,0.3473,31.37,0.3018,1,2,0,7,0,0,0,6,6,0,attack_slot_0,Escort2,175.160019,29.143227,66.328979
240,-165.6,24,0,0.3458,26.35,0.30029,4,1,2,9,0,0,0,4,4,0,attack_slot_0,Escort2,85.53299,30.140022,65.8423
241,-575.6,156,0,0.3444,157.41,0.29879,7,5,6,5,2,8,7,51,57,8,radar_off,Escort2,130.129059,30.237621,68.400383
242,-177.7,23,0,0.343,24.29,0.29729,1,2,0,2,0,1,0,6,9,2,radar_off,Escort1,155.221207,30.09565,67.652779
243,-209.2,29,0,0.3416,30.36,0.29581,4,3,0,2,1,0,0,2,16,1,radar_off,Escort2,151.92514,30.016451,67.454422
244,-207.2,63,0,0.3402,71.09,0.29433,0,1,5,4,0,3,2,10,36,2,radar_off,Escort1,174.694809,30.490501,70.861977
245,-442.001,233,0,0.3388,224.57,0.29286,7,8,5,167,6,5,5,16,6,8,attack_slot_0,LandStrike 1,155.050568,31.313992,70.051109
246,63.92,79,1,0.3415,79.39,0.29139,1,3,1,57,3,0,0,6,6,2,attack_slot_0,LandStrike 1,166.109543,31.191704,69.985649
247,-189.1,71,0,0.3401,64.78,0.28994,5,2,6,16,2,0,3,13,20,4,radar_off,Escort1,133.893707,32.208408,70.297073
248,-608.1,156,0,0.3387,164.6,0.28849,4,4,5,14,4,7,7,78,30,3,radar_on,Escort2,125.21019,32.029995,71.379059
249,-174.5,70,0,0.3373,68.71,0.28704,1,3,1,22,0,4,0,19,16,4,attack_slot_0,Escort1,132.321533,31.6973,70.328293
250,-89.061,75,1,0.34,84.81,0.28561,0,1,0,23,1,4,5,15,21,5,attack_slot_0,LandStrike 1,128.152817,32.594769,70.906715
251,-197.2,68,0,0.3386,68.74,0.28418,5,3,2,14,1,3,2,11,25,2,radar_off,Escort1,103.967529,32.880821,71.126869
252,-167.0,23,0,0.3373,24.33,0.28276,0,3,0,3,0,0,0,7,9,1,radar_off,Escort1,152.870163,32.618519,69.928947
253,-49.718,79,1,0.3399,85.14,0.28135,15,2,2,33,0,3,4,8,9,3,attack_slot_0,LandStrike 1,129.211426,32.376896,72.910988
254,-264.92,164,1,0.3425,168.57,0.27994,7,4,9,8,5,3,6,51,61,10,radar_off,Escort2,127.565979,32.346237,72.208656
255,-222.3,70,0,0.3412,73.92,0.27854,1,2,2,5,3,0,2,20,31,4,radar_off,Escort1,120.371834,33.525894,71.238411
256,-489.507,222,0,0.3398,223.29,0.27715,9,6,7,145,8,6,6,16,12,7,attack_slot_0,LandStrike 1,117.308197,33.225052,72.479256
257,-268.04,168,1,0.3424,168.36,0.27576,5,9,3,73,8,6,3,34,24,3,attack_slot_0,LandStrike 1,109.13678,33.116741,72.601006
258,-238.9,21,0,0.3411,24.3,0.27438,1,1,0,1,1,2,1,9,4,1,radar_on,Escort1,124.317802,33.818615,71.584587
259,-165.1,20,0,0.3398,22.43,0.27301,0,1,2,7,0,0,1,6,3,0,attack_slot_0,Escort2,99.151062,33.440792,72.101685
260,-69.92,122,1,0.3423,121.86,0.27164,6,4,2,46,3,5,0,26,28,2,attack_slot_0,LandStrike 1,110.623161,34.139484,74.375397
261,-2.82,76,1,0.3448,76.26,0.27029,18,3,2,26,2,3,0,11,10,1,attack_slot_0,LandStrike 1,137.357742,34.014732,72.840164
262,-442.956,225,0,0.3435,223.35,0.26893,6,6,4,86,9,4,4,28,72,6,attack_slot_0,LandStrike 1,128.599121,35.002743,73.729027
263,-219.08,160,1,0.346,160.28,0.26759,9,3,5,46,2,6,6,25,53,5,radar_off,LandStrike 1,117.78154,35.781342,73.187752
264,-148.42,143,1,0.3485,145.78,0.26625,20,4,5,44,7,1,3,30,25,4,attack_slot_0,LandStrike 1,115.275925,36.21146,73.60704
265,6.356,89,1,0.3509,88.54,0.26492,4,2,2,40,3,1,1,10,23,3,attack_slot_0,LandStrike 1,121.337593,36.062721,72.416283
266,-66.34,101,1,0.3534,92.46,0.2636,3,3,6,37,3,2,2,19,20,6,attack_slot_0,LandStrike 1,122.305016,36.727535,73.388428
267,-48.44,120,1,0.3558,126.74,0.26228,0,5,4,53,4,1,3,25,23,2,attack_slot_0,LandStrike 1,110.799324,36.429207,74.251106
268,-175.3,63,0,0.3545,67.78,0.26097,2,1,3,12,0,2,3,26,13,1,radar_on,Escort1,118.99218,37.437077,75.930046
269,-45.84,92,1,0.3569,92.34,0.25966,1,2,1,39,3,4,2,18,18,4,attack_slot_0,LandStrike 1,105.301018,36.570675,74.464531
270,-562.801,240,0,0.3556,228.51,0.25836,8,13,5,90,11,4,5,45,49,10,attack_slot_0,LandStrike 1,107.808029,36.821453,75.724297
271,-188.2,17,0,0.3542,21.25,0.25707,8,1,1,3,0,1,0,0,2,1,nothing,Escort1,89.215744,36.275467,72.173622
272,-582.901,241,0,0.3529,244.7,0.25579,11,14,7,94,7,8,7,36,51,6,attack_slot_0,LandStrike 1,108.043327,37.371239,76.163116
273,-62.92,98,1,0.3553,106.9,0.25451,1,3,2,27,4,3,1,27,27,3,attack_slot_0,LandStrike 1,113.640366,38.032955,74.429001
274,-51.994,75,1,0.3577,80.8,0.25324,6,1,2,38,2,2,2,13,7,2,attack_slot_0,LandStrike 1,77.978722,38.694389,75.289818
275,-233.3,68,0,0.3564,68.71,0.25197,0,2,2,21,3,3,5,15,16,1,attack_slot_0,Escort1,99.832756,38.341949,75.622574
276,-94.08,67,1,0.3587,68.74,0.25071,3,3,2,13,2,2,4,26,12,0,radar_on,Escort1,129.549332,39.801567,74.906349
277,-188.3,16,0,0.3574,20.29,0.24946,0,0,0,3,2,0,0,7,4,0,radar_on,Escort1,76.603287,38.651382,74.267311
278,-49.4,81,1,0.3597,84.22,0.24821,17,3,2,32,2,2,3,9,9,2,attack_slot_0,LandStrike 1,129.173096,39.245853,75.017738
279,-176.9,23,0,0.3584,26.25,0.24697,0,2,0,1,0,1,0,4,15,0,radar_off,Escort2,102.351837,39.548866,73.546608
280,-179.7,18,0,0.3571,22.33,0.24573,0,1,0,2,0,0,0,8,7,0,radar_on,Escort1,50.763882,40.806778,75.151237
281,-74.9,86,1,0.3594,94.15,0.2445,0,2,3,36,5,3,2,18,15,2,attack_slot_0,LandStrike 1,82.500847,39.363888,76.202477
282,-611.2,155,0,0.3582,155.88,0.24328,12,4,2,1,3,5,9,84,7,28,radar_on,Escort2,99.58989,40.141949,75.230995
283,-202.5,25,0,0.3569,37.03,0.24206,0,0,1,1,2,0,0,6,5,10,move_to_target,Escort2,62.028271,37.045586,72.857895
284,-567.2,166,0,0.3556,165.89,0.24085,54,10,5,12,6,4,4,13,51,7,nothing,Escort2,102.781036,38.125355,74.307518
285,2.52,88,1,0.3579,94.02,0.23965,3,5,1,36,2,2,1,15,23,0,attack_slot_0,LandStrike 1,111.151558,38.133999,73.146729
286,-551.2,151,0,0.3566,152.15,0.23845,4,5,4,8,5,2,11,99,11,2,radar_on,Escort2,131.748215,38.18227,74.073181
287,-54.34,82,1,0.3589,82.2,0.23726,4,2,6,19,2,2,3,21,22,1,radar_off,LandStrike 1,106.867508,38.500496,74.500938
288,-278.5,28,0,0.3576,24.31,0.23607,1,1,1,2,2,2,1,10,1,7,radar_on,Escort1,102.786697,39.449463,74.047798
289,10.96,85,1,0.3599,91.2,0.23489,3,2,2,52,2,0,2,10,7,5,attack_slot_0,LandStrike 1,83.707611,37.649162,74.047867
290,-487.001,232,0,0.3586,251.85,0.23372,4,8,7,111,6,5,9,42,34,6,attack_slot_0,LandStrike 1,113.16024,37.695465,74.778648
291,-174.6,24,0,0.3574,24.28,0.23255,0,5,1,1,1,0,0,12,4,0,radar_on,Escort1,56.089508,39.191574,73.366058
292,-349.0,149,0,0.3562,150.48,0.23139,6,3,4,2,3,4,2,61,61,3,radar_on,Escort2,98.464424,38.123192,74.416206
293,-133.9,68,0,0.3549,76.63,0.23023,9,2,2,23,3,0,1,13,14,1,attack_slot_0,Escort1,100.436928,37.158211,74.728653
294,-263.8,23,0,0.3537,27.32,0.22908,1,1,0,1,2,1,3,5,9,0,radar_off,Escort2,127.419624,36.635277,73.437958
295,-208.8,27,0,0.3525,31.39,0.22793,0,1,0,2,1,0,1,4,18,0,radar_off,Escort2,95.506165,36.577621,73.805954
296,-309.301,228,0,0.3514,239.26,0.22679,4,6,3,95,5,5,3,43,58,6,attack_slot_0,LandStrike 1,108.014717,36.375061,75.312263
297,-197.0,25,0,0.3502,32.44,0.22566,1,1,0,11,0,0,1,5,5,1,attack_slot_0,Escort2,51.830097,37.547935,75.320122
298,-62.2,62,0,0.349,68.26,0.22453,0,3,0,30,2,0,2,11,13,1,attack_slot_0,Escort1,112.612564,37.25124,76.449768
299,-172.9,21,0,0.3478,24.31,0.22341,0,1,1,0,0,2,0,9,8,0,radar_on,Escort1,141.717804,38.037521,76.149185
300,-133.4,65,0,0.3467,68.7,0.22229,0,1,0,26,3,1,1,13,19,1,attack_slot_0,Escort1,82.29895,36.120625,76.718842
301,-327.3,147,0,0.3455,156.19,0.22118,2,3,5,2,4,2,5,60,63,1,radar_off,Escort2,124.061516,37.366386,78.159546
302,-394.2,154,0,0.3444,173.1,0.22007,0,3,1,5,4,3,3,80,50,5,radar_on,Escort2,114.248795,36.702415,78.263054
303,-174.7,79,0,0.3432,68.74,0.21897,2,3,14,25,2,1,0,19,12,1,attack_slot_0,Escort1,95.845528,36.162827,78.301247
304,-122.5,66,0,0.3421,71.66,0.21788,0,6,2,29,0,2,2,13,12,0,attack_slot_0,Escort1,107.429527,36.068626,77.467667
305,-362.801,229,0,0.341,258.01,0.21679,8,9,4,85,6,3,4,64,40,6,attack_slot_0,LandStrike 1,113.788979,35.732147,77.588745
306,-155.2,27,0,0.3399,31.29,0.21571,1,1,0,1,0,0,0,22,2,0,radar_on,Escort2,139.054855,36.719315,76.903946
307,-10.554,91,1,0.342,91.85,0.21463,2,4,4,30,0,1,3,25,15,7,attack_slot_0,LandStrike 1,88.959686,35.472225,77.950188
308,-253.6,67,0,0.3409,77.56,0.21355,3,1,2,17,4,4,1,15,19,1,radar_off,Escort1,141.240753,35.643177,76.700981
309,-460.801,233,0,0.3398,237.94,0.21249,9,10,7,82,8,6,3,42,62,4,attack_slot_0,LandStrike 1,131.02565,35.930107,78.22451
310,-380.751,223,0,0.3387,230.24,0.21142,2,7,9,115,7,3,4,43,27,6,attack_slot_0,LandStrike 1,99.650192,36.627197,77.262756
311,-23.7,84,1,0.3408,84.56,0.21037,1,4,2,38,3,2,1,22,7,4,attack_slot_0,LandStrike 1,101.089417,37.005695,77.477249
312,-185.8,65,0,0.3397,73.45,0.20932,2,2,0,19,3,3,2,14,16,4,attack_slot_0,Escort1,101.445969,37.263268,77.110092
313,-161.2,68,0,0.3387,69.04,0.20827,0,3,1,31,2,0,3,11,11,6,attack_slot_0,Escort1,129.755798,36.970356,77.325584
314,-117.0,66,0,0.3376,72.86,0.20723,2,1,1,23,2,3,1,18,14,1,attack_slot_0,Escort1,88.566078,37.171978,77.02726
315,37.8,132,1,0.3397,148.71,0.20619,3,1,4,43,0,1,2,32,42,4,attack_slot_0,LandStrike 1,122.979958,36.395584,77.116982
316,-253.5,21,0,0.3386,23.34,0.20516,1,2,0,1,0,3,2,4,7,1,radar_off,Escort2,59.546883,35.881153,76.468086
317,-128.3,67,0,0.3375,72.78,0.20413,2,2,2,26,1,2,3,10,19,0,attack_slot_0,Escort1,150.959839,36.366962,77.213501
318,-5.511,66,1,0.3396,76.73,0.20311,1,2,1,15,4,1,2,27,12,1,radar_on,Escort1,91.650169,36.24295,77.860519
319,-191.5,24,0,0.3386,20.29,0.2021,0,3,6,2,0,0,1,5,6,1,move_to_ally,Escort1,115.030426,38.315659,76.659859
320,-398.101,231,0,0.3375,241.68,0.20109,6,8,5,128,6,3,6,38,25,6,attack_slot_0,LandStrike 1,122.306374,37.159294,78.045509
321,-318.5,153,0,0.3364,152.05,0.20008,5,3,2,3,3,2,1,69,62,3,radar_on,Escort2,116.143105,37.332127,79.237175
322,-123.435,86,1,0.3385,88.33,0.19908,2,3,1,32,7,1,3,31,5,1,attack_slot_0,LandStrike 1,107.70108,37.090183,78.389824
323,-239.3,68,0,0.3375,68.7,0.19809,0,2,0,27,2,2,4,10,12,9,attack_slot_0,Escort1,140.867538,36.55899,77.581139
324,-183.7,33,0,0.3364,35.37,0.1971,0,1,2,2,0,1,0,15,12,0,radar_on,Escort2,91.468071,37.224083,78.020844
325,-221.8,38,0,0.3354,20.49,0.19611,1,20,0,2,0,2,0,5,5,3,move_random,Escort1,116.441238,37.373333,78.453812
326,-212.0,23,0,0.3344,31.25,0.19513,0,1,0,9,0,2,1,5,5,0,attack_slot_0,Escort2,163.147934,37.777679,77.856453
327,-174.9,204,1,0.3364,200.86,0.19415,3,6,5,55,3,7,1,31,86,7,radar_off,LandStrike 1,117.31179,37.355202,79.225143
328,-136.1,19,0,0.3354,26.19,0.19318,1,3,0,1,0,1,0,4,9,0,radar_off,Escort1,159.050491,37.896271,77.977798
329,-197.8,26,0,0.3343,29.31,0.19222,0,1,2,13,1,1,0,4,4,0,attack_slot_0,Escort2,226.328278,36.926567,78.525467
330,-238.6,27,0,0.3333,24.33,0.19126,1,7,0,5,1,1,1,6,4,1,move_random,Escort1,176.856949,37.653107,78.049446
331,-149.0,27,0,0.3323,29.4,0.1903,1,2,1,1,0,0,0,11,11,0,radar_on,Escort2,126.264099,38.115334,78.369888
332,-214.6,31,0,0.3313,25.11,0.18935,1,1,8,0,1,0,0,2,14,4,radar_off,Escort1,142.918488,36.454834,77.888626
333,-293.501,235,0,0.3303,239.27,0.1884,2,8,3,99,0,7,3,60,43,10,attack_slot_0,LandStrike 1,136.743164,37.252842,78.586876
334,-177.1,66,0,0.3293,70.69,0.18746,1,3,1,29,5,1,2,9,12,3,attack_slot_0,Escort1,143.391983,37.765579,78.561966
335,-88.14,141,1,0.3313,148.0,0.18652,3,4,3,44,3,2,4,25,52,1,radar_off,LandStrike 1,113.08654,38.954475,78.382637
336,-146.0,24,0,0.3304,28.28,0.18559,1,1,0,2,0,0,0,14,6,0,radar_on,Escort2,92.967804,39.380108,77.173073
337,-159.9,18,0,0.3294,22.33,0.18466,0,1,0,1,1,0,0,7,8,0,radar_off,Escort2,93.244003,40.154625,76.713028
338,-19.1,119,1,0.3314,124.92,0.18374,1,7,3,43,4,1,1,21,36,2,attack_slot_0,LandStrike 1,116.026619,38.068012,78.178032
339,-192.1,22,0,0.3304,24.29,0.18282,1,2,0,4,1,0,2,6,5,1,radar_on,Escort1,124.575218,39.11211,77.430931
340,-95.0,62,0,0.3294,68.91,0.18191,1,1,2,24,1,1,2,14,16,0,attack_slot_0,Escort1,92.378891,40.015366,79.083969
341,-165.9,23,0,0.3284,26.33,0.181,0,1,4,2,1,0,0,9,6,0,radar_on,Escort2,106.505775,39.870258,78.154182
342,-156.0,29,0,0.3275,24.39,0.18009,0,3,2,4,0,1,0,8,6,5,radar_on,Escort1,161.028854,39.3792,78.017624
343,142.122,79,1,0.3294,81.28,0.17919,2,2,2,25,0,0,0,24,23,1,attack_slot_0,LandStrike 1,140.822037,38.912876,78.507095
344,-181.3,24,0,0.3285,32.23,0.1783,1,1,1,2,2,0,0,4,13,0,radar_off,Escort2,183.853409,37.192532,78.501343
345,-307.001,226,0,0.3275,238.01,0.1774,8,5,4,70,6,4,1,71,53,4,radar_on,LandStrike 1,137.788681,38.764076,78.795006
346,-274.3,26,0,0.3266,19.39,0.17652,6,7,3,3,1,0,1,0,1,4,move_random,Escort1,137.716751,39.460396,77.358376
347,49.64,84,1,0.3285,93.12,0.17563,0,3,0,10,1,2,2,38,28,0,radar_on,LandStrike 1,107.441147,39.268559,78.535477
348,-104.8,68,0,0.3276,73.09,0.17476,5,3,1,26,3,0,1,15,13,1,attack_slot_0,Escort1,140.08313,39.71357,79.262367
349,-203.6,21,0,0.3266,23.34,0.17388,1,1,1,8,0,2,1,3,3,1,attack_slot_0,Escort2,103.779228,39.776714,76.779861
350,10.38,134,1,0.3286,132.54,0.17301,1,2,1,33,2,2,2,44,41,6,radar_on,LandStrike 1,135.221664,39.597118,77.390755
351,-168.8,22,0,0.3276,26.3,0.17215,0,1,0,7,0,1,0,6,6,1,attack_slot_0,Escort2,91.355972,39.946842,77.062065
352,-12.876,75,1,0.3295,82.69,0.17129,2,2,1,40,1,4,2,11,12,0,attack_slot_0,LandStrike 1,134.02774,40.606922,77.760277
353,-249.7,32,0,0.3286,24.33,0.17043,0,13,0,2,1,0,1,8,7,0,move_random,Escort1,155.950195,40.647743,77.091141
354,-218.101,222,0,0.3277,224.12,0.16958,3,6,1,86,2,4,4,71,44,1,attack_slot_0,LandStrike 1,123.890747,40.249195,78.222046
355,-384.055,222,0,0.3268,231.43,0.16873,3,12,5,45,3,7,5,67,74,1,radar_off,LandStrike 1,136.669724,40.340767,77.628181
356,-56.96,121,1,0.3287,127.72,0.16789,20,1,2,31,4,2,1,22,32,6,radar_off,LandStrike 1,132.302048,40.549923,77.82225
357,-182.8,68,0,0.3277,80.67,0.16705,1,3,3,27,2,2,2,14,14,0,attack_slot_0,Escort1,153.273438,40.254372,76.551392
358,52.409,62,1,0.3296,68.6,0.16621,0,2,2,49,0,3,1,3,2,0,attack_slot_0,Escort1,118.942963,41.012596,77.218773
359,-87.3,69,0,0.3287,78.08,0.16538,2,4,1,15,0,1,0,30,15,1,radar_on,Escort1,112.90081,41.278709,78.537659
360,26.64,144,1,0.3306,148.34,0.16455,0,4,2,70,2,3,0,23,37,3,attack_slot_0,LandStrike 1,136.781311,40.431107,78.134949
361,23.05,62,1,0.3324,69.36,0.16373,1,3,2,0,0,4,0,51,1,0,radar_on,Escort1,99.739288,41.045528,76.515388
362,-384.2,154,0,0.3315,151.35,0.16291,5,3,3,4,2,3,1,28,102,3,radar_off,Escort2,115.447472,40.557816,77.415962
363,28.72,75,1,0.3333,87.45,0.1621,1,3,1,15,2,1,2,25,25,0,radar_on,LandStrike 1,114.26828,40.185135,76.648003
364,40.905,80,1,0.3352,82.01,0.16129,1,4,3,34,1,0,2,19,12,4,attack_slot_0,LandStrike 1,153.087967,41.419975,77.755066
365,-345.201,228,0,0.3342,228.32,0.16048,2,6,9,112,3,3,8,49,35,1,attack_slot_0,LandStrike 1,111.675972,41.671745,78.819344
366,-205.8,23,0,0.3333,26.29,0.15968,0,1,2,8,0,1,1,5,5,0,attack_slot_0,Escort2,54.08112,41.746071,78.095497
367,-112.0,60,0,0.3324,63.71,0.15888,2,1,0,38,2,1,1,5,9,1,attack_slot_0,Escort1,136.909317,41.002476,77.77861
368,-127.8,23,0,0.3315,24.29,0.15809,1,2,1,3,1,0,0,9,5,1,radar_on,Escort1,150.073517,41.720539,77.397789
369,-216.7,150,0,0.3306,155.33,0.1573,5,2,2,0,0,2,3,60,73,3,radar_off,Escort2,134.494888,40.986713,77.911392
370,-175.1,21,0,0.3297,23.39,0.15651,1,1,0,7,1,0,0,6,3,2,attack_slot_0,Escort2,141.832596,40.723484,77.528671
371,-143.8,71,0,0.3288,72.67,0.15573,1,2,3,34,3,2,1,10,12,3,attack_slot_0,Escort1,127.112,39.762157,78.43309
372,-362.0,150,0,0.328,151.42,0.15495,0,3,0,3,2,3,2,109,26,2,radar_on,Escort2,155.734436,39.546452,78.609634
373,-282.497,217,0,0.3271,217.46,0.15417,7,5,3,61,4,3,5,56,71,2,radar_off,LandStrike 1,144.597794,38.472603,78.592346
374,-290.001,229,0,0.3262,237.41,0.1534,4,8,6,63,2,4,3,50,86,3,radar_off,LandStrike 1,112.151459,38.813107,78.813385
375,-162.3,68,0,0.3253,68.66,0.15264,7,2,1,10,3,1,1,36,5,2,radar_on,Escort1,117.304596,38.41711,78.947273
376,-136.8,19,0,0.3245,27.74,0.15187,0,1,0,2,0,0,0,12,4,0,radar_on,Escort2,192.984894,37.42762,79.509758
377,-133.5,23,0,0.3236,27.28,0.15111,0,1,0,3,0,0,0,13,6,0,radar_on,Escort2,62.395126,38.9748,79.777649
378,-155.8,23,0,0.3228,27.28,0.15036,1,1,0,2,0,1,0,13,5,0,radar_on,Escort2,136.64267,38.619621,78.334991
