episode,total_reward,step_count,success,success_rate,duration_s,epsilon,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count,action_8_count,action_9_count,most_used_action,scenario,loss,q_mean,q_max
1,-784.1,70,0,0.0,76.76,0.995,10,5,5,6,6,10,11,7,6,4,attack_slot_3,1,216.052292,-0.100208,0.550255
2,-1049.42,131,1,0.5,140.44,0.99003,12,14,11,9,14,14,17,12,13,15,attack_slot_3,LandStrike 1,146.695511,-6.810097,4.843456
3,-498.1,75,1,0.6667,83.71,0.98507,8,11,7,5,6,10,9,8,3,8,move_random,LandStrike 1,65.122871,-8.361855,3.166377
4,-863.6,60,0,0.5,66.85,0.98015,4,5,5,10,9,6,9,6,4,2,attack_slot_0,Test1,53.603374,-8.47975,2.942446
5,-1295.8,146,0,0.4,155.53,0.97525,18,17,15,15,16,13,6,20,16,10,radar_on,Escort2,92.554619,-8.598208,4.982615
6,-864.6,65,0,0.3333,73.35,0.97037,5,9,4,6,7,8,10,7,4,5,attack_slot_3,Test1,109.66748,-7.983117,5.06523
7,-915.926,136,1,0.4286,143.97,0.96552,20,15,13,15,14,8,18,13,10,10,nothing,Test2,120.79277,-8.504229,6.117509
8,-636.2,65,0,0.375,71.86,0.96069,6,10,9,8,3,4,4,9,5,7,move_random,Test1,111.122749,-8.217059,6.290496
9,-708.8,65,0,0.3333,73.55,0.95589,4,8,12,4,9,7,4,9,5,3,move_to_ally,Test1,114.73719,-7.989517,20.665947
10,-647.5,60,0,0.3,66.94,0.95111,5,7,4,5,8,6,5,9,5,6,radar_on,Test1,145.756317,-8.336361,19.95035
